id,programme,stress,sleep_hours,exam_score
2263,Psychology,2.01,5.14,72.7
2264,Business,7.29,5.36,55.3
2265,Business,0.97,8.97,73.9
2266,Business,12.89,7.66,77.7
2267,Psychology,2.73,9.11,87.5
2268,Business,14.29,4.82,70.2
2269,Psychology,0.29,5.84,58.2
2270,Business,17.45,5.06,85.6
2271,Business,21.79,6.96,70.7
2272,Business,17.97,7.66,88.8
2273,Business,40.00,4.64,57.5
2274,Business,0.81,8.86,83.8
2275,Psychology,19.18,7.21,72.5
2276,Business,16.65,7.22,76.0
2277,Business,24.68,5.65,71.3
2278,Business,3.53,6.17,80.2
2279,Psychology,17.21,6.48,34.3
2280,Psychology,36.25,7.49,42.3
2281,Psychology,9.71,8.35,69.8
2282,Business,17.38,6.02,52.1
2283,Psychology,34.74,5.22,48.2
2284,Psychology,6.54,8.12,80.6
2285,Psychology,5.13,6.77,78.5
2286,Psychology,11.83,6.61,71.6
2287,Psychology,1.21,5.66,52.6
2288,Psychology,5.18,8.94,97.3
2289,Psychology,2.00,7.21,86.6
2290,Psychology,1.26,5.66,63.2
2291,Psychology,9.04,7.17,91.7
2292,Psychology,14.70,6.25,80.2
2293,Business,1.35,7.50,80.8
2294,Business,13.40,4.82,39.7
2295,Psychology,3.36,9.53,79.4
2296,Business,8.87,7.40,71.5
2297,Business,12.55,6.37,57.6
2298,Business,17.77,6.78,100.0
2299,Psychology,40.00,6.56,70.7
2300,Business,23.52,4.69,51.9
2301,Psychology,22.64,6.70,80.9
2302,Psychology,2.49,8.62,70.1
2303,Business,14.59,6.28,78.1
2304,Psychology,2.39,6.14,81.9
2305,Business,35.47,4.49,57.8
2306,Psychology,5.90,7.88,78.5
2307,Psychology,26.12,5.95,72.7
2308,Psychology,5.17,7.53,64.0
2309,Psychology,1.76,6.01,85.9
2310,Business,22.37,7.14,93.6
2311,Psychology,11.13,6.64,66.4
2312,Business,23.69,5.22,85.3
2313,Psychology,39.43,6.30,45.3
2314,Psychology,6.14,8.91,76.8
2315,Psychology,9.70,7.76,69.5
2316,Business,0.65,6.86,75.3
2317,Psychology,36.93,6.92,63.7
2318,Business,39.38,6.48,46.4
2319,Psychology,10.75,5.95,71.4
2320,Psychology,3.68,6.17,46.5
2321,Business,1.57,6.65,83.2
2322,Psychology,2.33,7.75,69.2
2323,Psychology,20.70,7.96,55.6
2324,Psychology,2.68,6.92,67.1
2325,Business,2.27,6.73,69.1
2326,Business,7.96,8.07,77.2
2327,Business,2.16,7.52,83.8
2328,Psychology,1.65,7.90,84.9
2329,Business,13.34,7.90,76.6
2330,Psychology,3.05,5.60,76.2
2331,Business,17.10,6.87,53.8
2332,Psychology,2.05,6.55,86.1
2333,Psychology,0.47,7.85,79.1
2334,Business,30.20,5.79,58.1
2335,Psychology,5.70,6.07,76.0
2336,Psychology,15.71,6.52,75.6
2337,Psychology,15.17,5.12,53.0
2338,Business,12.37,6.90,76.8
2339,Psychology,27.59,7.12,61.6
2340,Psychology,35.64,6.07,57.8
2341,Business,12.85,6.73,67.1
2342,Psychology,10.75,6.77,80.7
2343,Psychology,14.31,5.13,63.3
2344,Psychology,17.12,7.49,91.9
2345,Business,16.62,7.60,74.7
2346,Psychology,4.10,6.75,84.5
2347,Business,13.64,7.35,80.9
2348,Psychology,22.03,8.33,89.9
2349,Business,25.51,6.01,66.6
2350,Business,25.58,6.22,77.7
2351,Business,0.74,7.23,83.8
2352,Business,1.20,7.89,78.3
2353,Business,29.90,7.08,65.1
2354,Psychology,0.75,7.13,59.4
2355,Psychology,2.03,8.09,64.1
2356,Psychology,17.61,3.62,75.3
2357,Business,7.47,7.94,79.7
2358,Business,1.58,6.03,96.2
2359,Psychology,17.83,6.64,81.5
2360,Psychology,0.89,7.08,80.1
2361,Business,35.77,6.10,66.1
2362,Psychology,27.78,7.79,74.2
2363,Business,2.91,6.73,72.5
2364,Psychology,3.01,6.65,77.5
2365,Psychology,17.24,7.35,63.4
2366,Business,10.67,5.51,69.8
2367,Business,16.01,7.48,67.2
2368,Psychology,17.93,5.01,63.1
2369,Business,4.71,6.04,72.0
2370,Psychology,6.39,8.70,96.1
2371,Psychology,2.81,7.73,80.1
2372,Psychology,2.88,6.57,71.7
2373,Business,4.67,4.43,100.0
2374,Psychology,9.39,7.49,95.0
2375,Business,10.33,6.23,81.1
2376,Business,21.65,5.53,49.1
2377,Psychology,33.94,5.55,84.9
2378,Psychology,8.91,8.43,68.8
2379,Business,2.66,7.19,80.5
2380,Psychology,12.25,4.87,64.3
2381,Psychology,22.15,6.33,36.0
2382,Business,3.28,6.90,89.0
2383,Psychology,8.70,8.64,100.0
2384,Business,8.91,7.53,59.1
2385,Business,3.03,7.42,61.4
2386,Psychology,7.21,6.81,69.2
2387,Business,1.10,4.26,47.0
2388,Business,7.20,7.34,88.3
2389,Business,3.35,5.82,73.1
2390,Psychology,17.66,5.91,61.6
2391,Psychology,15.87,8.23,88.5
2392,Psychology,4.37,7.69,71.8
2393,Psychology,5.65,3.81,79.8
2394,Business,22.08,5.89,62.0
2395,Psychology,8.35,5.69,79.9
2396,Business,4.04,7.19,92.7
2397,Psychology,0.66,4.58,65.3
2398,Psychology,28.33,5.31,73.6
2399,Business,20.92,5.86,56.8
2400,Psychology,4.10,6.44,71.7
2401,Business,0.39,4.33,70.1
2402,Psychology,1.68,8.11,86.1
2403,Business,6.94,7.24,96.1
2404,Psychology,5.84,9.41,96.9
2405,Business,15.19,7.34,62.1
2406,Business,4.27,8.07,79.8
2407,Psychology,0.61,7.35,93.0
2408,Business,13.78,5.44,63.9
2409,Business,5.94,8.14,80.8
2410,Psychology,1.98,6.07,98.9
2411,Business,10.75,5.75,69.6
2412,Business,4.76,7.10,92.4
2413,Psychology,7.90,7.18,61.3
2414,Business,3.57,6.93,57.8
2415,Psychology,3.79,6.94,75.9
2416,Business,16.85,6.70,70.2
2417,Business,12.23,6.98,55.6
2418,Psychology,13.82,8.24,50.8
2419,Psychology,4.71,9.42,81.6
2420,Business,1.30,7.09,72.1
2421,Psychology,7.62,8.17,82.6
2422,Business,0.82,7.42,99.0
2423,Psychology,10.61,6.16,66.5
2424,Psychology,2.34,7.42,74.4
2425,Psychology,0.64,6.10,58.9
2426,Business,16.81,8.07,91.5
2427,Business,4.81,8.93,89.0
2428,Business,14.65,7.58,77.0
2429,Business,17.52,4.18,65.1
2430,Psychology,18.97,10.06,96.3
2431,Business,4.80,6.18,79.5
2432,Psychology,9.94,7.85,65.7
2433,Business,7.53,6.66,67.8
2434,Psychology,40.00,4.67,70.9
2435,Business,5.17,5.13,71.9
2436,Psychology,32.82,7.27,59.7
2437,Psychology,19.16,6.34,73.5
2438,Business,27.67,6.26,69.0
2439,Business,39.79,8.90,55.5
2440,Psychology,40.00,5.25,54.7
2441,Psychology,6.32,5.39,74.7
2442,Psychology,7.25,7.62,66.8
2443,Business,2.04,6.85,98.9
2444,Psychology,15.70,5.08,76.4
2445,Psychology,24.94,6.83,62.0
2446,Psychology,7.16,7.22,67.9
2447,Business,6.71,9.56,84.4
2448,Psychology,1.26,6.42,67.8
2449,Psychology,0.53,8.39,65.6
2450,Psychology,2.59,7.77,81.5
2451,Psychology,13.59,6.08,60.2
2452,Psychology,2.50,5.88,76.6
2453,Psychology,4.18,6.51,80.0
2454,Psychology,0.39,7.86,90.1
2455,Business,6.00,7.26,79.7
2456,Business,4.81,5.18,88.7
2457,Business,3.16,5.09,75.1
2458,Business,13.17,7.49,83.0
2459,Business,40.00,6.66,49.1
2460,Business,27.14,6.51,66.0
2461,Psychology,8.32,8.70,91.4
2462,Business,12.63,7.57,87.9
2463,Business,1.92,7.76,88.1
2464,Business,32.89,6.54,61.0
2465,Business,13.78,7.51,84.2
2466,Business,30.39,7.26,84.8
2467,Business,18.98,5.96,49.0
2468,Business,0.80,6.43,52.2
2469,Psychology,7.82,8.47,83.0
2470,Business,5.04,6.46,85.2
2471,Business,40.00,6.23,55.2
2472,Business,20.30,4.22,50.7
2473,Business,12.39,7.03,57.7
2474,Psychology,7.11,6.76,75.4
2475,Business,4.35,7.68,85.6
2476,Psychology,0.97,8.50,82.0
2477,Business,11.98,6.59,97.4
2478,Psychology,2.38,6.03,79.4
2479,Psychology,19.51,6.62,42.9
2480,Psychology,5.57,8.49,91.1
2481,Psychology,2.19,5.08,90.4
2482,Business,2.34,8.27,81.2
2483,Psychology,1.71,8.97,61.8
2484,Business,1.90,6.90,86.8
2485,Business,30.33,7.38,60.6
2486,Business,15.48,6.63,87.3
2487,Psychology,3.96,7.61,76.7
2488,Business,20.02,6.10,74.9
2489,Psychology,7.73,6.15,70.5
2490,Psychology,12.92,7.03,60.8
2491,Business,21.75,7.55,85.3
2492,Psychology,8.26,7.76,95.8
2493,Business,8.64,6.52,74.4
2494,Psychology,9.79,5.89,83.7
2495,Psychology,32.06,4.69,50.3
2496,Business,7.85,7.41,57.6
2497,Psychology,0.76,9.71,98.3
2498,Psychology,7.88,8.00,81.6
2499,Psychology,16.13,6.75,67.8
2500,Psychology,11.45,5.92,62.4
2501,Psychology,10.50,6.07,66.2
2502,Psychology,6.70,8.14,81.0
2503,Business,29.31,7.01,70.2
2504,Psychology,8.57,7.35,52.8
2505,Psychology,22.00,5.82,61.0
2506,Business,30.95,4.56,48.2
2507,Business,2.40,6.42,84.2
2508,Business,1.90,7.56,99.7
2509,Psychology,0.14,8.76,90.9
2510,Business,2.12,7.36,78.9
2511,Business,40.00,5.71,64.0
2512,Business,3.62,8.11,78.8
2513,Business,22.85,6.87,75.1
2514,Psychology,25.79,7.26,74.7
2515,Business,2.06,8.03,70.7
2516,Business,9.94,7.17,76.0
2517,Psychology,14.70,7.67,59.0
2518,Business,13.34,5.36,83.2
2519,Business,4.36,8.20,72.3
2520,Business,11.12,7.37,79.2
2521,Psychology,11.50,6.38,79.7
2522,Psychology,3.20,7.16,81.0
2523,Business,9.57,5.74,69.9
2524,Psychology,7.39,8.21,70.6
2525,Business,18.22,8.10,71.8
2526,Psychology,1.59,7.64,100.0
2527,Business,13.92,6.77,86.0
2528,Psychology,6.24,4.97,67.7
2529,Business,0.94,5.96,60.7
2530,Psychology,7.22,7.65,71.4
2531,Psychology,1.79,7.92,90.9
2532,Business,14.63,8.39,76.8
2533,Psychology,4.96,7.96,75.9
2534,Business,2.43,7.77,65.5
2535,Psychology,28.59,6.29,69.4
2536,Business,1.43,7.02,100.0
2537,Psychology,5.53,8.26,67.6
2538,Business,40.00,6.79,62.2
2539,Psychology,26.80,8.41,55.4
2540,Business,10.32,6.67,68.8
2541,Business,12.45,7.10,68.9
2542,Psychology,1.75,6.28,71.0
2543,Business,8.92,6.39,71.6
2544,Business,7.81,8.87,69.9
2545,Business,1.41,7.31,88.6
2546,Psychology,11.58,6.50,88.2
2547,Business,7.98,6.37,81.5
2548,Psychology,6.54,6.51,72.8
2549,Business,4.68,6.48,79.0
2550,Psychology,34.49,6.48,80.0
2551,Business,3.67,8.49,81.2
2552,Business,38.13,5.45,79.4
2553,Business,7.18,6.40,75.5
2554,Psychology,5.96,7.97,60.6
2555,Business,4.45,7.27,89.5
2556,Business,4.42,4.41,96.0
2557,Psychology,8.99,6.96,85.9
2558,Business,9.11,7.91,100.0
2559,Psychology,12.56,4.64,68.5
2560,Psychology,2.50,8.04,72.6
2561,Psychology,9.98,7.55,94.2
2562,Business,32.45,7.02,61.8
2563,Psychology,4.68,5.97,89.7
2564,Psychology,7.68,6.28,85.0
2565,Psychology,10.46,5.92,73.0
2566,Psychology,11.28,6.95,68.2
2567,Psychology,6.86,6.40,87.8
2568,Psychology,22.52,7.01,64.5
2569,Psychology,4.01,7.07,92.3
2570,Business,10.28,7.55,87.3
2571,Business,22.34,5.45,59.8
2572,Psychology,1.37,8.02,88.5
2573,Psychology,28.52,6.60,62.8
2574,Psychology,12.73,7.42,57.5
2575,Business,3.47,7.13,74.3
2576,Business,24.23,6.07,60.4
2577,Psychology,30.10,5.44,67.0
2578,Psychology,2.11,7.65,81.4
2579,Psychology,6.94,6.25,75.7
2580,Business,3.45,10.16,65.0
2581,Business,37.54,5.60,73.9
2582,Business,17.07,7.77,92.4
2583,Psychology,24.06,6.43,84.8
2584,Psychology,1.82,5.91,86.8
2585,Business,2.69,9.30,88.8
2586,Business,2.37,8.39,77.4
2587,Psychology,0.73,8.35,94.0
2588,Psychology,30.93,8.02,58.0
2589,Psychology,4.13,7.57,96.8
2590,Business,24.77,7.40,71.7
2591,Psychology,16.42,4.57,72.1
2592,Business,40.00,5.84,74.3
2593,Psychology,30.56,6.76,71.5
2594,Psychology,6.23,7.86,83.4
2595,Business,4.24,5.62,78.4
2596,Business,13.19,6.13,67.9
2597,Psychology,7.79,6.74,63.8
2598,Business,16.90,7.25,71.9
2599,Business,28.96,5.92,45.1
2600,Business,12.96,9.19,83.0
2601,Business,5.23,5.97,78.1
2602,Psychology,6.54,8.09,78.8
2603,Psychology,1.12,8.39,76.9
2604,Psychology,4.77,7.80,75.3
2605,Psychology,21.99,7.88,75.0
2606,Business,8.92,7.58,63.0
2607,Business,5.16,5.76,75.2
2608,Psychology,20.17,6.57,49.8
2609,Business,1.49,7.91,95.3
2610,Business,10.41,5.08,63.0
2611,Business,8.17,6.99,73.9
2612,Business,0.52,6.44,74.4
2613,Business,1.06,6.34,81.8
2614,Psychology,21.31,8.60,74.9
2615,Psychology,21.61,5.63,70.1
2616,Psychology,24.64,6.15,50.7
2617,Psychology,10.37,8.53,78.4
2618,Business,5.71,6.97,87.9
2619,Business,7.62,6.63,80.9
2620,Psychology,11.83,9.55,94.0
2621,Psychology,5.70,5.97,61.1
2622,Psychology,7.39,7.37,57.5
2623,Business,17.10,4.73,52.9
2624,Business,5.63,6.77,81.4
2625,Psychology,22.27,5.87,74.3
2626,Psychology,21.33,8.47,100.0
2627,Business,40.00,7.12,77.8
2628,Business,24.54,6.35,71.5
2629,Psychology,13.66,5.55,82.2
2630,Psychology,5.79,6.90,54.8
2631,Business,5.63,6.97,78.9
2632,Business,2.95,7.92,86.7
2633,Psychology,19.87,7.30,73.8
2634,Psychology,27.24,4.42,89.7
2635,Psychology,2.96,5.95,65.2
2636,Psychology,37.57,6.79,84.2
2637,Business,0.99,6.82,96.5
2638,Psychology,0.88,6.93,77.7
2639,Psychology,10.68,7.79,79.6
2640,Psychology,9.62,6.02,80.1
2641,Psychology,2.70,7.30,68.4
2642,Business,2.18,6.71,77.5
2643,Business,23.73,6.22,69.2
2644,Psychology,17.77,7.26,69.0
2645,Business,2.27,7.31,79.2
2646,Business,8.09,6.77,70.0
2647,Business,6.44,5.49,69.2
2648,Psychology,3.69,6.41,65.4
2649,Psychology,4.45,6.76,89.5
2650,Psychology,16.24,5.35,82.7
2651,Psychology,9.29,6.04,72.8
2652,Psychology,18.76,5.93,73.3
2653,Business,0.80,7.33,66.0
2654,Business,33.58,7.13,73.5
2655,Business,3.56,7.48,78.3
2656,Psychology,5.17,8.17,60.3
2657,Business,10.57,7.47,89.1
2658,Business,1.11,6.73,74.2
2659,Psychology,26.51,6.75,83.5
2660,Business,2.20,8.30,64.6
2661,Business,31.37,7.44,58.3
2662,Business,32.82,5.85,49.4
2663,Business,6.45,4.67,53.6
2664,Psychology,2.47,8.26,79.9
2665,Business,13.43,6.49,69.5
2666,Psychology,2.19,6.56,86.9
2667,Business,24.83,6.79,73.6
2668,Psychology,7.31,6.28,81.6
2669,Business,0.66,9.54,88.2
2670,Psychology,8.48,5.86,83.9
2671,Business,3.11,7.22,75.7
2672,Psychology,10.58,6.39,78.0
2673,Psychology,14.66,6.90,63.1
2674,Psychology,8.38,8.08,62.4
2675,Psychology,11.09,8.36,75.0
2676,Business,14.05,6.10,65.6
2677,Psychology,3.51,5.75,73.4
2678,Psychology,4.11,7.88,87.3
2679,Psychology,3.57,8.16,95.2
2680,Psychology,3.19,7.01,75.4
2681,Psychology,10.77,6.82,74.1
2682,Psychology,15.43,8.06,92.4
2683,Psychology,5.36,8.54,73.7
2684,Business,0.70,6.65,81.7
2685,Business,13.15,5.62,50.9
2686,Psychology,1.68,8.71,69.0
2687,Business,23.54,8.46,55.2
2688,Psychology,5.63,6.65,53.6
2689,Business,13.92,5.80,87.8
2690,Psychology,16.62,6.27,82.4
2691,Business,0.28,7.14,73.7
2692,Business,25.94,5.79,63.4
2693,Psychology,0.77,8.16,66.7
2694,Psychology,13.13,7.63,80.6
2695,Business,40.00,5.86,62.4
2696,Psychology,1.83,6.55,84.0
2697,Psychology,9.61,7.52,61.2
2698,Psychology,1.22,7.91,82.8
2699,Business,23.04,7.37,70.8
2700,Psychology,1.23,6.88,68.2
2701,Psychology,20.83,8.17,78.9
2702,Business,10.37,5.25,86.0
2703,Psychology,14.72,8.14,65.7
2704,Business,40.00,7.61,54.5
2705,Psychology,6.68,8.13,98.0
2706,Psychology,15.19,8.67,60.6
2707,Psychology,0.66,8.45,95.7
2708,Business,10.79,4.43,68.0
2709,Psychology,4.41,6.49,71.1
2710,Business,22.11,6.38,47.4
2711,Business,13.75,7.03,84.7
2712,Business,8.02,7.71,96.9
2713,Psychology,17.15,7.39,76.3
2714,Business,4.24,5.45,66.2
2715,Business,13.67,8.39,65.6
2716,Psychology,10.73,6.89,74.9
2717,Psychology,6.56,7.73,72.9
2718,Business,6.00,5.64,65.5
2719,Business,39.50,4.69,54.3
2720,Business,4.41,7.94,64.8
2721,Psychology,40.00,6.46,52.4
2722,Business,7.36,7.44,75.8
2723,Business,0.84,7.36,84.8
2724,Psychology,1.45,7.57,75.8
2725,Psychology,0.08,7.52,70.5
2726,Business,2.33,8.23,86.0
2727,Business,8.86,7.45,80.3
2728,Psychology,19.69,7.00,64.3
2729,Business,19.35,5.18,58.3
2730,Psychology,37.75,5.74,64.3
2731,Business,15.41,5.20,58.4
2732,Business,4.00,7.05,77.0
2733,Psychology,7.82,7.50,58.2
2734,Business,2.35,7.69,74.8
2735,Business,3.34,6.32,76.7
2736,Business,12.57,5.97,62.6
2737,Business,14.00,5.16,73.3
2738,Psychology,31.92,4.34,59.4
2739,Psychology,35.13,4.95,49.7
2740,Psychology,3.57,6.22,61.7
2741,Business,7.28,7.47,62.8
2742,Business,14.68,6.65,66.9
2743,Psychology,1.45,9.53,92.2
2744,Psychology,5.85,6.93,88.5
2745,Psychology,3.22,8.35,87.2
2746,Business,24.28,7.60,45.3
2747,Psychology,4.18,7.10,83.8
2748,Psychology,11.19,7.38,51.0
2749,Psychology,0.06,7.71,73.1
2750,Psychology,2.55,5.93,76.1
2751,Business,13.57,8.18,81.1
2752,Business,1.00,7.98,72.5
2753,Business,12.39,7.79,89.3
2754,Psychology,0.21,7.34,52.4
2755,Business,3.64,5.56,65.5
2756,Psychology,17.79,6.74,55.3
2757,Business,16.31,6.13,56.4
2758,Psychology,9.28,7.87,97.2
2759,Psychology,3.48,7.69,88.0
2760,Business,18.09,5.14,58.5
2761,Business,29.08,6.33,51.0
2762,Business,1.53,6.30,66.5
2763,Business,3.59,8.67,87.3
2764,Business,9.26,6.92,66.9
2765,Business,13.23,8.42,92.6
2766,Business,4.08,4.40,59.3
2767,Psychology,12.75,5.35,63.9
2768,Psychology,0.79,6.67,75.6
2769,Business,7.58,5.70,54.0
2770,Psychology,5.59,6.03,74.3
2771,Business,34.05,5.99,74.3
2772,Psychology,7.66,5.11,80.0
2773,Psychology,19.14,6.53,59.2
2774,Psychology,34.51,6.68,69.2
2775,Psychology,37.05,7.11,49.0
2776,Psychology,21.53,6.14,61.3
2777,Psychology,1.11,7.27,36.8
2778,Business,21.04,5.84,70.6
2779,Psychology,3.40,7.58,78.6
2780,Business,22.51,6.89,87.6
2781,Psychology,1.88,5.83,59.1
2782,Psychology,3.08,7.92,74.8
2783,Psychology,1.39,7.04,76.3
2784,Psychology,38.00,5.26,52.5
2785,Psychology,40.00,5.16,45.3
2786,Psychology,1.67,8.44,84.5
2787,Psychology,8.45,7.19,85.5
2788,Psychology,1.48,6.16,83.2
2789,Business,6.34,7.57,98.0
2790,Business,13.47,7.16,63.6
2791,Psychology,4.95,4.74,69.0
2792,Psychology,7.09,8.03,82.4
2793,Psychology,5.44,8.21,81.0
2794,Business,28.50,6.81,54.4
2795,Business,40.00,4.90,55.6
2796,Business,40.00,4.50,49.4
2797,Business,40.00,8.30,68.1
2798,Psychology,5.89,8.09,79.9
2799,Psychology,28.15,5.83,71.7
2800,Psychology,11.09,6.42,63.2
2801,Psychology,6.11,6.93,76.6
2802,Business,0.55,8.05,72.0
2803,Business,22.38,8.27,73.2
2804,Business,4.10,6.66,80.6
2805,Business,22.79,6.59,55.0
2806,Business,17.08,10.41,92.3
2807,Business,9.18,8.75,82.9
2808,Business,25.69,6.71,70.7
2809,Psychology,1.14,6.77,91.9
2810,Psychology,9.47,6.91,69.7
2811,Psychology,7.90,6.56,73.0
2812,Business,33.69,6.56,91.0
2813,Psychology,21.69,4.95,64.8
2814,Psychology,7.72,5.66,56.7
2815,Business,3.17,6.48,63.7
2816,Psychology,40.00,7.67,71.8
2817,Psychology,4.12,7.97,66.7
2818,Business,6.58,5.87,77.2
2819,Business,5.27,8.40,73.9
2820,Business,7.83,6.06,83.3
2821,Business,2.17,7.27,90.4
2822,Psychology,19.89,5.99,57.4
2823,Psychology,8.17,5.95,67.7
2824,Psychology,14.03,7.78,72.1
2825,Business,0.86,6.28,80.4
2826,Business,2.09,7.69,77.2
2827,Business,31.11,6.43,54.2
2828,Psychology,20.38,7.05,59.8
2829,Business,1.37,7.23,68.7
2830,Psychology,2.97,5.52,61.0
2831,Business,5.92,7.32,57.1
2832,Business,22.55,7.06,77.3
2833,Psychology,2.48,6.07,66.6
2834,Psychology,4.42,6.50,60.7
2835,Business,7.50,6.55,65.3
2836,Psychology,1.96,7.48,81.9
2837,Psychology,4.39,6.84,52.4
2838,Psychology,13.97,5.79,68.4
2839,Business,4.10,7.44,88.2
2840,Psychology,14.83,8.03,67.2
2841,Psychology,22.21,7.52,69.0
2842,Psychology,37.53,3.44,58.6
2843,Business,0.37,6.93,74.2
2844,Business,3.54,5.48,79.2
2845,Business,2.33,5.81,74.6
2846,Business,23.10,7.86,81.0
2847,Psychology,2.15,8.60,84.2
2848,Business,4.46,6.19,77.9
2849,Psychology,2.00,9.07,87.3
2850,Psychology,33.04,7.51,70.7
2851,Psychology,18.56,5.11,54.4
2852,Psychology,12.34,7.13,68.0
2853,Business,40.00,5.04,50.3
2854,Business,8.13,7.62,89.2
2855,Psychology,17.78,7.33,68.5
2856,Business,26.50,6.02,71.3
2857,Psychology,4.78,7.99,82.6
2858,Business,5.52,6.59,84.4
2859,Business,1.08,6.83,92.9
2860,Psychology,7.70,7.58,76.6
2861,Business,10.91,6.55,91.6
2862,Psychology,8.57,6.07,62.1
2863,Business,2.78,8.39,81.8
2864,Psychology,5.70,6.63,83.8
2865,Business,3.31,6.14,74.2
2866,Psychology,1.13,6.74,76.2
2867,Business,15.25,3.96,73.6
2868,Psychology,1.19,6.70,80.8
2869,Psychology,5.14,6.42,80.2
2870,Business,8.26,6.70,58.1
2871,Psychology,4.27,9.36,85.7
2872,Business,35.85,5.40,50.0
2873,Psychology,19.17,6.98,83.4
2874,Business,0.06,7.26,69.6
2875,Psychology,3.96,7.90,88.8
2876,Psychology,8.61,6.55,72.1
2877,Psychology,40.00,5.07,48.8
2878,Psychology,25.67,7.87,62.5
2879,Business,0.36,6.29,82.9
2880,Psychology,14.10,6.73,70.4
2881,Psychology,6.26,7.07,82.2
2882,Psychology,20.59,6.42,74.1
2883,Psychology,0.26,8.30,79.3
2884,Psychology,38.18,7.90,58.0
2885,Psychology,15.83,5.45,67.2
2886,Business,4.89,6.26,69.3
2887,Psychology,10.59,7.48,69.8
2888,Psychology,31.86,6.50,56.7
2889,Psychology,1.48,7.44,100.0
2890,Business,21.37,6.41,91.8
2891,Business,12.94,6.24,68.6
2892,Psychology,1.11,6.05,66.1
2893,Psychology,8.69,6.05,75.8
2894,Business,28.40,6.85,88.0
2895,Psychology,29.38,6.66,62.4
2896,Business,8.11,6.61,58.8
2897,Psychology,40.00,5.58,78.7
2898,Business,8.25,8.04,67.1
2899,Business,0.14,8.42,71.2
2900,Psychology,25.48,6.30,75.1
2901,Psychology,10.32,5.75,68.2
2902,Business,9.51,8.10,55.3
2903,Psychology,28.00,3.00,51.2
2904,Psychology,5.77,7.55,67.0
2905,Psychology,3.05,7.26,97.6
2906,Business,19.10,5.61,66.8
2907,Business,9.23,5.15,63.0
2908,Psychology,19.50,6.18,58.5
2909,Psychology,3.08,9.20,81.4
2910,Psychology,2.29,7.77,71.7
2911,Psychology,1.75,6.64,75.1
2912,Business,3.00,4.99,70.3
2913,Psychology,12.63,7.46,79.9
2914,Business,6.25,7.34,73.2
2915,Business,21.75,5.43,71.2
2916,Business,2.46,5.18,58.7
2917,Psychology,28.56,7.58,57.3
2918,Psychology,7.45,6.22,69.9
2919,Business,6.15,6.38,82.3
2920,Business,14.02,5.95,74.5
2921,Business,10.94,7.28,73.1
2922,Business,8.16,7.60,77.7
2923,Psychology,9.90,5.61,60.8
2924,Psychology,6.21,5.61,70.0
2925,Psychology,0.64,8.91,75.0
2926,Business,13.96,6.97,74.4
2927,Business,16.35,7.49,72.4
2928,Business,12.49,8.12,76.6
2929,Psychology,15.54,5.48,74.9
2930,Psychology,33.21,3.63,50.4
2931,Business,3.16,6.43,89.7
2932,Business,14.39,7.46,71.0
2933,Psychology,8.71,4.63,53.8
2934,Business,35.70,6.53,46.5
2935,Business,2.69,5.31,75.3
2936,Psychology,33.00,4.92,71.6
2937,Business,26.21,5.58,47.5
2938,Business,4.01,9.93,66.0
2939,Psychology,2.88,8.58,100.0
2940,Psychology,1.03,8.49,76.0
2941,Psychology,6.55,6.23,75.5
2942,Business,4.86,6.87,59.8
2943,Psychology,1.53,6.03,85.4
2944,Business,6.66,7.97,62.0
2945,Business,16.27,6.21,57.2
2946,Business,18.92,6.89,62.4
2947,Psychology,1.19,7.29,83.5
2948,Psychology,31.08,6.08,57.0
2949,Psychology,40.00,7.26,56.5
2950,Business,8.50,7.16,72.2
2951,Psychology,40.00,6.67,82.6
2952,Psychology,5.72,8.53,92.1
2953,Psychology,18.19,6.43,83.0
2954,Business,14.59,6.28,54.4
2955,Business,7.55,4.77,73.9
2956,Business,27.78,6.42,60.4
2957,Psychology,6.90,8.46,76.4
2958,Psychology,9.61,6.92,98.6
2959,Psychology,9.21,7.03,71.5
2960,Business,2.43,6.43,82.1
2961,Psychology,1.52,8.40,93.7
2962,Business,24.38,5.70,50.3
2963,Psychology,4.40,8.65,73.4
2964,Psychology,8.35,7.68,75.6
2965,Business,1.30,7.43,83.2
2966,Psychology,1.10,7.35,100.0
2967,Psychology,40.00,7.99,55.9
2968,Business,40.00,4.43,65.1
2969,Psychology,5.68,6.51,81.2
2970,Business,32.56,5.51,64.5
2971,Psychology,15.04,6.02,71.2
2972,Business,3.66,6.08,75.2
2973,Psychology,0.25,5.16,69.4
2974,Business,1.63,7.01,98.0
2975,Business,7.11,5.67,70.4
2976,Business,5.84,6.66,81.1
2977,Psychology,23.40,5.94,53.6
2978,Business,18.50,6.10,63.0
2979,Psychology,3.74,5.18,73.5
2980,Psychology,12.48,5.72,53.8
2981,Business,4.32,7.41,68.4
2982,Psychology,5.45,6.11,65.6
2983,Business,16.85,8.50,80.4
2984,Business,7.59,7.12,72.0
2985,Business,9.40,6.96,66.2
2986,Business,21.58,5.75,67.6
2987,Psychology,9.39,8.34,84.7
2988,Business,4.08,7.38,82.3
2989,Business,28.19,6.70,60.0
2990,Business,4.39,7.71,86.7
2991,Business,0.66,5.06,100.0
2992,Psychology,0.20,5.68,78.0
2993,Psychology,2.59,7.07,100.0
2994,Psychology,0.73,7.81,81.3
2995,Business,1.20,6.27,73.0
